album nummer,date,ebene1,ebene2,ebene3,ebene4,c_ebene1,c_ebene2,c_ebene3,c_ebene4,e12,e34,ce12,ce34
3,1964,0.27424201,0.350040972,0.251434034,0.124282983,0.428030303,0.203030303,0.182575758,0.186363636,0.624282983,0.375717017,0.631060606,0.368939394
3,1964,0.393442623,0.316598361,0.251536885,0.038422131,0.401294498,0.300970874,0.281553398,0.01618123,0.710040984,0.289959016,0.702265372,0.297734628
3,1964,0.37062206,0.311552535,0.294040774,0.023784631,0.539634146,0.085365854,0.355182927,0.019817073,0.682174595,0.317825405,0.625,0.375
3,1964,0.334878647,0.335696755,0.29342787,0.035996728,0.44962406,0.272180451,0.278195489,0,0.670575402,0.329424598,0.721804511,0.278195489
3,1964,0.419367137,0.274494853,0.171559283,0.134578727,0.56873823,0.084745763,0.331450094,0.015065913,0.69386199,0.30613801,0.653483992,0.346516008
3,1964,0.266378972,0.192428403,0.122204786,0.418987838,0.425423729,0.102542373,0.018644068,0.453389831,0.458807375,0.541192625,0.527966102,0.472033898
3,1964,0.35587796,0.293364626,0.197994453,0.152762961,0.347701149,0.290229885,0.166666667,0.195402299,0.649242586,0.350757414,0.637931034,0.362068966
4,1964,0.320316679,0.416497272,0.24232374,0.020862309,0.451066961,0.501839588,0.04415011,0.002943341,0.736813951,0.263186049,0.952906549,0.047093451
4,1964,0.414425735,0.23686856,0.306484041,0.042221664,0.427057357,0.22319202,0.339775561,0.009975062,0.651294295,0.348705705,0.650249377,0.349750623
4,1964,0.274076317,0.297092671,0.277407632,0.15142338,0.398744113,0.252747253,0.09733124,0.251177394,0.571168988,0.428831012,0.651491366,0.348508634
4,1964,0.432163531,0.354739508,0.150325615,0.062771346,0.60940919,0.318380744,0.024070022,0.048140044,0.786903039,0.213096961,0.927789934,0.072210066
4,1964,0.429162622,0.349052266,0.104685025,0.117100087,0.634738186,0.181353768,0.003831418,0.180076628,0.778214888,0.221785112,0.816091954,0.183908046
4,1964,0.392395718,0.409929863,0.177002584,0.020671835,0.613636364,0.167272727,0.186363636,0.032727273,0.802325581,0.197674419,0.780909091,0.219090909
4,1964,0.314495255,0.265746333,0.345556514,0.074201898,0.276470588,0.162745098,0.309803922,0.250980392,0.580241588,0.419758412,0.439215686,0.560784314
4,1964,0.329040014,0.332818135,0.284904688,0.053237163,0.375457875,0.302197802,0.203296703,0.119047619,0.661858149,0.338141851,0.677655678,0.322344322
4,1964,0.368769883,0.334217038,0.216419229,0.080593849,0.529112493,0.279819107,0.15093273,0.04013567,0.702986921,0.297013079,0.8089316,0.1910684
4,1964,0.455882353,0.355299667,0.158157603,0.030660377,0.472705459,0.305938812,0.154169166,0.067186563,0.81118202,0.18881798,0.778644271,0.221355729
4,1964,0.308167467,0.434454358,0.241134752,0.016243423,0.492753623,0.304347826,0.202898551,0,0.742621826,0.257378174,0.797101449,0.202898551
4,1964,0.268074978,0.435584647,0.264802142,0.031538233,0.448467967,0.454038997,0.097493036,0,0.703659625,0.296340375,0.902506964,0.097493036
4,1964,0.414340821,0.234059451,0.336396642,0.015203086,0.346647646,0.554921541,0.098430813,0,0.648400272,0.351599728,0.901569187,0.098430813
4,1964,0.372280419,0.439161966,0.188557615,0,0.595611285,0.250783699,0.153605016,0,0.811442385,0.188557615,0.846394984,0.153605016
5,1965,0.34473594,0.380144033,0.265174897,0.00994513,0.42020202,0.476767677,0.088888889,0.014141414,0.724879973,0.275120027,0.896969697,0.103030303
5,1965,0.306052121,0.246177041,0.217101012,0.230669826,0.364719905,0.36829559,0.023837902,0.243146603,0.552229162,0.447770838,0.733015495,0.266984505
